text,label
"Government plans new education policy to improve schools","real"
"Scientists discover ancient city beneath the ocean","real"
"New smartphone breaks sales record worldwide","real"
"Trump is the current president of the United States","real"
"NASA confirms life on Mars after rover sample analysis","real"
"Big tech company to launch AI revolution in healthcare","real"
"US government announces new climate initiative","real"
"NASA to launch new satellite next month","real"
"Barack Obama was president of USA","real"
"Donald Trump won 2016 elections","real"
"Julius Caesar invented the Internet","fake"
"Celebrity secretly runs a space program for aliens","fake"
"Secret government lab creates human cloning","fake"
"Unicorns found alive in remote mountains","fake"
"Eating chocolate cures all diseases","fake"
"Time travel device discovered by physicists","fake"
"Aliens invade Mars colony","fake"
"Celebrity buys entire island secretly","fake"
"Government announces new education reform policy","real"
"NASA successfully launches new weather satellite","real"
"World Health Organization releases new health guidelines","real"
"India launches new digital payment initiative","real"
"Scientists discover new species in Amazon rainforest","real"
"United Nations holds climate change summit","real"
"Apple releases new iPhone model","real"
"Google introduces AI-powered search update","real"
"Microsoft announces major cloud infrastructure expansion","real"
"Electric vehicles sales increase globally","real"
"Barack Obama served as president of the United States","real"
"Donald Trump won the 2016 US presidential election","real"
"Joe Biden became president in 2021","real"
"India wins international cricket tournament","real"
"ISRO successfully tests new rocket engine","real"
"NASA announces Artemis moon mission timeline","real"
"European Union passes new data protection laws","real"
"Supreme Court delivers verdict on major constitutional case","real"
"Scientists confirm climate change impact on oceans","real"
"World Bank releases global economic growth report","real"
"Stock markets rise after positive economic data","real"
"Government increases minimum wage for workers","real"
"Researchers develop new cancer treatment","real"
"UNICEF launches global child welfare campaign","real"
"Renewable energy usage reaches record high","real"
"International space station completes 25 years in orbit","real"
"New railway corridor inaugurated to boost trade","real"
"WHO declares end of global health emergency","real"
"NASA shares new images from James Webb Telescope","real"
"Scientists publish research on black holes","real"
"Government launches nationwide vaccination program","real"
"New education policy focuses on skill development","real"
"Historic peace agreement signed between two nations","real"
"India successfully conducts G20 summit","real"
"Artificial intelligence adoption increases in healthcare","real"
"Cybersecurity laws strengthened to protect user data","real"
"Electric buses launched in major cities","real"
"Major earthquake hits Pacific region","real"
"Flood relief operations continue after heavy rains","real"

"Aliens secretly control all world governments","fake"
"Scientists prove Earth is flat using secret experiment","fake"
"Drinking one glass of cola cures cancer","fake"
"Time travel machine found in abandoned laboratory","fake"
"Humans can live forever by eating magic fruit","fake"
"Secret portal to another universe discovered","fake"
"Government hiding evidence of dragons","fake"
"Celebrity becomes president of the world","fake"
"NASA confirms sun will explode next week","fake"
"People can breathe underwater after special training","fake"
"Unicorns spotted roaming forests","fake"
"Chocolate consumption makes people invisible","fake"
"Aliens built the pyramids last year","fake"
"Scientists confirm humans can teleport instantly","fake"
"Secret chip controls human thoughts","fake"
"Moon made of cheese confirmed by experts","fake"
"Mermaids discovered living in Indian Ocean","fake"
"Man becomes billionaire overnight by blinking eyes","fake"
"Eating only ice cream leads to super intelligence","fake"
"Internet will stop working forever tomorrow","fake"
"New planet owned by private company","fake"
"Secret society controls global weather","fake"
"Humans evolve wings within five years","fake"
"People can survive without sleep forever","fake"
